,3M Company,Alcoa Incorporated,American Express Company,AT&T Incorporated,Bank of America Corporation,Boeing Corporation,Caterpillar Incorporated,Chevron Corporation,"Cisco Systems, Inc",Coca-Cola Company,DuPont,Exxon Mobil Corporation,General Electric Company,Home Depot Incorporated,Microsoft Corporation,Intel Corporation,International Business Machines,J.P. Morgan Chase & Company,Johnson & Johnson,McDonald’s Corporation,Merck & Company,Pfizer Incorporated,Procter & Gamble Company,"The Travelers Companies, Inc",United Technologies,Verizon Company,Wal-Mart Stores Incorporated,Walt Disney Company
2011-01-28,87.440002,38.760391,43.860001,27.49,13.6,69.230003,95.68,93.370003,20.93,31.105,49.899837,78.989998,155.384613,36.700001,27.75,21.459999,159.210007,44.540001,60.009998,73.279999,31.555344,17.220114,64.199997,55.810001,51.246067,35.630001,56.700001,38.849998
2011-01-31,87.919998,39.817711,43.380001,27.52,13.73,69.480003,97.010002,94.93,21.15,31.424999,50.497612,80.68,154.92308,36.77,27.73,21.459999,162,44.939999,59.77,73.669998,31.650763,17.286528,63.130001,56.259998,51.164253,35.619999,56.07,38.869999
2011-02-01,87.790001,41.619961,43.599998,27.870001,14.31,70.290001,98.010002,96.220001,21.469999,31.525,51.750088,83.910004,160,36.990002,27.99,21.48,163.559998,45.93,60.630001,73.470001,32.442749,18.235294,62.919998,56.810001,51.497795,36.27,56.330002,39.880001
2011-02-02,87.75,41.355629,43.720001,27.67,14.24,71,99.089996,96.480003,21.620001,31.43,52.148605,83.410004,159.307693,36.560001,27.940001,21.559999,163.300003,45.450001,60.619999,73.639999,32.270992,17.988615,62.790001,56.709999,51.705475,36.16,55.860001,40.490002
2011-02-03,87.949997,41.355629,43.529999,27.99,14.43,70.980003,98.93,97.309998,21.91,31.285,52.290932,83.440002,159.615387,36.700001,27.65,21.57,163.529999,45.459999,60.799999,73.830002,31.393129,18.187857,62.900002,57.25,51.743237,36.380001,55.919998,40.5
2011-02-04,88.290001,41.18742,43.82,27.969999,14.29,71.379997,99.589996,97.110001,22.049999,31.280001,52.675213,83.279999,158.153839,36.799999,27.77,21.68,164,44.59,60.84,74.050003,31.383589,18.311195,63.610001,57.41,51.932034,36.310001,56.029999,40.709999
2011-02-07,88.790001,41.619961,44.82,27.959999,14.67,71.93,100.470001,97.660004,22.030001,31.26,53.543407,83.93,160.538467,36.599998,28.200001,21.690001,164.820007,45.5,60.869999,73.449997,31.48855,18.064516,64.550003,57.18,52.649464,36.02,56.07,40.939999
2011-02-08,89.470001,41.812199,45.880001,27.91,14.61,72.709999,100.610001,97.739998,21.99,31.434999,53.998856,82.980003,163.692307,37.16,28.280001,21.639999,166.050003,45.740002,60.939999,75.360001,31.746183,18.178368,64.639999,57.880001,52.787918,36.34,56.380001,41.18
2011-02-09,90.779999,41.235481,45.720001,27.969999,14.64,72.629997,99.790001,96.239998,22.040001,31.575001,53.315685,82.550003,163.92308,37.169998,27.969999,21.459999,164.649994,45.110001,60.880001,75.93,31.574427,18.074003,64.389999,58.810001,52.850849,36.68,56.73,43.360001
2011-02-10,90.459999,41.139359,46.57,28.24,14.49,72.660004,100.599998,96.699997,18.92,31.77,54.269276,83.199997,163.615387,37.310001,27.5,21.799999,164.089996,45.529999,60.93,75.760002,31.526718,18.055029,64.580002,58.459999,53.33543,36.419998,55.59,43.310001
2011-02-11,91.800003,41.740108,46.75,28.469999,14.77,72.139999,103.540001,96.449997,18.700001,31.785,54.625092,82.82,164.07692,37.48,27.25,21.76,163.850006,46.57,60.700001,76.139999,31.555344,17.865274,64.730003,58.990002,53.618629,36.389999,55.689999,43.41
2011-02-14,91.900002,42.268768,46.52,28.459999,14.89,72.260002,103.260002,96.949997,18.809999,31.57,54.781654,84.910004,165.384613,37.580002,27.23,21.57,163.220001,46.540001,60.700001,76.239998,31.316793,18.074003,64.540001,58.84,53.62492,35.900002,54.799999,43.240002
2011-02-15,92,41.812199,46.189999,28.24,14.77,71.400002,103,96.339996,18.67,31.594999,54.027321,82.970001,165.07692,37.689999,26.959999,21.450001,162.839996,46.82,60.619999,76.150002,31.288168,18.074003,63.919998,59.349998,53.448711,36.459999,54.950001,43.09
2011-02-16,92.330002,42.268768,46.860001,28.299999,14.84,72.480003,103.550003,96.660004,18.58,31.700001,54.51123,83.690002,164.92308,37.860001,27.02,21.75,163.399994,47.939999,60.52,76.019997,31.450382,18.292219,63.759998,59.459999,53.530521,36.169998,54.549999,43.700001
2011-02-17,92.730003,42.100559,45.779999,28.5,14.81,72.239998,103.360001,97.169998,18.68,32.275002,55.165936,83.879997,165.538467,38.18,27.209999,21.969999,164.240005,47.82,60.790001,75.980003,31.583969,18.377609,64,59.779999,53.203274,36.369999,54.75,43.700001
2011-02-18,92.959999,41.523842,45.529999,28.57,14.75,73.040001,105.860001,98.720001,18.85,32.275002,54.852818,84.5,164.92308,38.48,27.059999,22.139999,164.839996,48,61.110001,76.129997,31.345421,18.206831,64.300003,60.919998,53.499058,36.619999,55.380001,43.560001
2011-02-22,92,39.745621,44.290001,28.200001,14.18,70.93,102.010002,100.32,18.59,31.879999,52.888702,85.440002,160.153839,38.09,26.59,21.809999,161.949997,46.009998,60.650002,75.699997,30.85878,17.922201,64.07,60.529999,52.586533,36,53.669998,42.650002
2011-02-23,90.260002,39.505322,43.439999,28.030001,14.17,70.230003,100.019997,102.269997,18.4,31.955,51.266174,87.07,156.692307,37.299999,26.59,21.15,160.179993,45.959999,60.389999,75.190002,30.62023,17.798861,64.150002,60.419998,52.101952,35.810001,53.029999,42.130001
2011-02-24,90.029999,39.76965,43.560001,27.92,13.97,70.760002,100.57,102.029999,18.360001,31.940001,50.511845,85.970001,158.307693,37.139999,26.77,21.290001,160.770004,45.91,60.25,75.209999,30.562977,17.931688,63.049999,59.330002,52.057899,35.580002,52.09,42.419998
2011-02-25,90.25,40.082039,43.529999,28.129999,14.2,72.300003,102,102.099998,18.639999,32.154999,51.693157,85.339996,160.153839,37.080002,26.549999,21.860001,162.279999,46.68,59.639999,74.440002,30.715649,17.893738,62.84,59.599998,52.466961,35.970001,51.75,42.950001
2011-02-28,92.230003,40.490551,43.57,28.379999,14.29,72.010002,102.93,103.75,18.559999,31.959999,52.888702,85.529999,160.92308,37.470001,26.58,21.469999,161.880005,46.689999,61.439999,75.68,31.078243,18.254269,63.049999,59.93,52.573948,36.919998,51.98,43.740002
2011-03-01,90.459999,39.00069,43.150002,28.08,13.93,70.120003,99.860001,102.900002,18.559999,32.455002,51.43697,84.800003,155.769226,36.759998,26.16,21.389999,159.970001,45.599998,60.700001,74.889999,30.973282,18.159393,62.740002,59.220001,51.655128,36.02,52.07,42.990002
2011-03-02,91.32,38.880539,43.02,28.17,13.83,69.57,100.970001,103.470001,18.5,32.215,52.120136,85.080002,156.307693,36.66,26.08,21.49,160.160004,45.209999,60.810001,74.690002,31.087786,18.206831,62.41,58.810001,51.63625,36.34,51.970001,43.290001
2011-03-03,92.809998,39.961891,44.299999,28.129999,14.27,71.709999,104.25,104.190002,18.530001,32.785,53.927692,85.82,159.615387,37.549999,26.200001,21.790001,163.479996,46.080002,61.049999,76.239998,31.583969,18.757116,62.549999,59.049999,52.769035,36.360001,52.009998,44.07
2011-03-04,92.190002,39.84174,43.720001,27.92,14.12,71.800003,103.040001,103.75,18.4,32.605,53.401081,85.080002,156.692307,37.220001,25.950001,21.559999,161.830002,45.52,61.060001,76.029999,31.545801,18.652752,62.029999,59.18,52.146004,36.080002,52.07,43.549999
