,HINDALCO,HEROHONDA,M&M,MARUTI,TATAMOTORS,AXISBANK,HDFCBANK,ICICIBANK,PNB,SBIN,ACC,AMBUJACEM,GRASIM,ITC,HCLTECH,INFOSYSTCH,TCS,WIPRO,DLF,UNITECH,HINDUNILVR,JPASSOCIAT,ABB,BHEL,SIEMENS,SUZLON,LT,RELCAPITAL,HDFC,IDFC,GAIL,STER,ONGC,CIPLA,SUNPHARMA,NTPC,POWERGRID,RELINFRA,RPOWER,TATAPOWER,BPCL,RELIANCE,JINDALSTEL,SAIL,TATASTEEL,BHARTIARTL,IDEA,RCOM
2011-01-17,224.850006,1787.75,368.825012,1269.599976,233.26796,245.800003,206.809998,182.027267,226.800003,251.619995,1009.150024,125.849998,378.771149,114.633331,119.099998,408.600006,568.700012,175.031296,250.350006,56.900002,301.649994,88.300003,746.349976,291.466675,739.75,51.700001,746.533325,502.469238,663.650024,75.763275,135.520386,64.199997,195.016663,346.799988,232.699997,155.875,73.312515,734.900024,137.800003,129.529434,97.599998,494.264862,670.150024,157.149994,596.079651,319.985168,41.665157,131.649994
2011-01-18,229.449997,1786.849976,373.200012,1277.599976,237.364029,255.649994,210.934998,183.899994,229.399994,255.455002,1029.150024,130.800003,374.867249,117.433334,122.1875,415.375,601.275024,179.456299,248.5,57.599998,301.850006,90.650002,750.599976,292.333344,740.450012,53.099998,748.444458,507.195892,658.349976,77.740982,134.507874,63.450001,195.074997,354.600006,242.175003,157.166672,73.987518,701.450012,137.949997,128.59819,98.23333,492.754181,693.75,162,602.701172,316.220642,41.484268,132.100006
2011-01-19,235.600006,1764.349976,375.424988,1272.699951,236.018463,256.019989,207.544998,186.045456,228.279999,250.175003,1013.849976,127.349998,373.372314,116.966667,127.012497,406.200012,596.5,178.537537,257,59.049999,299.649994,90.949997,737,290.886658,732.400024,51.799999,734,508.858978,653.099976,77.106163,131.35788,63.599998,193.141663,351.549988,242.225006,155.958328,73.425018,721.25,137.449997,127.126534,97.383331,485.473206,690.599976,169.75,609.370361,316.266541,41.604862,130.800003
2011-01-20,236.5,1776.199951,380.149994,1259.25,236.404327,257.019989,211.755005,191.009094,228.279999,253.505005,1016.799988,128.100006,377.508575,114.433334,127.712502,411.987488,606.099976,179.062546,256.350006,57.900002,299.899994,91.699997,743.400024,290.073334,734.849976,51.849998,736.06665,512.272644,660.599976,77.960724,127.476624,61.549999,189.050003,351.350006,244.199997,157.166672,74.175018,716.799988,138.800003,128.511337,95.916664,480.371552,706.75,168.350006,604.225586,312.456085,41.514416,133.399994
2011-01-21,234.449997,1753.25,385.100006,1248.650024,234.959824,257.410004,209.414993,193.736359,225.070007,259.690002,996.349976,126.550003,373.581451,112.599998,124.887497,405.481262,605.825012,170.981293,251.550003,57.150002,298.200012,91.75,744.700012,294.299988,731.200012,52.849998,733.088867,513.498108,651.200012,77.106163,127.406311,62.200001,184.258331,354,242.675003,158.291672,74.13752,737.950012,142.199997,126.967308,98.48333,488.766968,699.849976,167.699997,599.795349,308.553833,41.333527,136.399994
2011-01-24,232.050003,1744.300049,395.799988,1292.5,235.137909,265.149994,214.860001,197.072723,230.020004,269.505005,1003.049988,127.050003,371.187988,112.73333,127.037498,410.581238,604.599976,166.46254,255.75,57.900002,297.950012,92.550003,738.900024,302.473328,724.25,52.950001,737.266663,510.653351,669.450012,77.350319,129.43132,62.950001,189.708328,348.5,242.375,160.541672,73.912521,730.450012,140.600006,126.798431,100.199997,481.238342,700.150024,165.350006,618.56427,305.845215,41.84605,134.800003
2011-01-25,235.100006,1774.550049,385.649994,1288.150024,230.725235,259.440002,208.429993,188.709091,227.559998,267.795013,1018.599976,129.449997,366.834839,112,127.125,407.456238,594.275024,167.58754,253.949997,55.950001,281.899994,91.099998,743.849976,305.353333,743.599976,51.650002,740.755554,507.589783,670.200012,76.593422,133.467255,62.900002,188.40834,343.149994,236.850006,163.375,73.800018,717.349976,138.899994,127.305061,105.158333,474.749847,688.549988,160.850006,624.375977,310.114746,43.202728,132.899994
2011-01-27,232.949997,1724,366.774994,1269.699951,236.631882,259.790009,205.089996,184.427277,221.729996,265.350006,1039.050049,132.149994,364.9216,111.866669,126.387497,399.612488,599.700012,164.49379,239.449997,53.299999,270.700012,90.5,722,297.886658,745.5,50.150002,731.266663,489.208344,667.099976,74.737793,129.248505,61.599998,185.633331,333.450012,230.725006,162.333328,74.100021,716.400024,140.550003,125.124123,106.116669,466.924042,673.200012,158.199997,619.374084,299.004791,42.569611,127.699997
2011-01-28,223.550003,1656.949951,348.950012,1229.349976,227.618561,250.699997,205.425003,185.172729,218.759995,262.015015,992.150024,127.949997,356.742004,112.099998,123.324997,396.018738,590.674988,164.100037,222.300003,51.049999,271.950012,87.449997,706.25,286.953339,728,49.700001,714.35553,469.426453,645.25,72.44268,127.856316,55.200001,188.816666,335.100006,224.399994,159.958328,72.412521,724.549988,136.899994,121.90097,105.408333,452.21347,663.950012,158.350006,607.32196,300.473877,42.328426,125.150002
2011-01-31,229.649994,1633.099976,356.674988,1252.849976,226.975464,248.440002,204.729996,185.745453,220.889999,264.23999,991.650024,126.150002,353.403564,108.400002,122.6875,389.712494,579.75,164.287537,223.899994,48.049999,271.149994,83.150002,732.349976,295.806671,853.950012,49.400002,729.377747,458.397583,628.349976,71.905525,132.454758,53.849998,196.300003,332.149994,220.425003,157.541672,72.412521,707.450012,135.100006,119.961281,102.166664,455.333893,663.25,160.899994,609.465637,292.898895,42.087238,122.650002
2011-02-01,229.899994,1610.349976,352.899994,1242.400024,211.541016,248.529999,203.960007,180.872726,220.199997,259.404999,976.950012,121.150002,349.840485,106.400002,121.137497,386.149994,575.075012,161.006287,221.550003,43.049999,269.649994,79.699997,715.599976,293.053345,848.299988,47.549999,701.555542,438.96582,633.25,69.927818,130.007874,53.650002,196.125,329,216.550003,154.375,71.737518,689.349976,130.5,118.870811,96.75,443.545624,635.299988,160.800003,601.891357,291.154358,40.157738,118.5
2011-02-02,234.800003,1522.800049,350.274994,1217.050049,220.485077,245.009995,201.990005,183.890915,215.990005,257.375,991,121.199997,347.013245,106,124.550003,386.15625,591.224976,164.193787,227.149994,45.150002,274.600006,81.050003,699.700012,285.146667,849,48.049999,699.333313,434.195404,617.450012,68.877922,129.698502,53.25,196.933334,325.5,218.300003,150.208328,71.662514,684.549988,127.75,117.693497,98.941666,456.324493,643.099976,160.149994,596.651306,296.38797,41.363674,116.949997
2011-02-03,246.050003,1563.75,352.825012,1218.199951,228.90477,251.270004,206.095001,186.727264,216.990005,265.174988,984.150024,125.199997,355.378754,106.300003,122.775002,389.700012,591.849976,165.750046,243.949997,46.450001,278.950012,85.900002,706.650024,292.15332,849.799988,48.799999,724.711121,441.723022,624.299988,68.609344,130.471939,54.650002,199.233337,329.399994,218.649994,151.916672,73.987518,704.349976,130.600006,118.378654,99.266663,467.518402,649.799988,164.399994,607.941223,311.997009,43.112286,118.099998
2011-02-04,236.550003,1537.199951,334.75,1182.949951,227.727402,244.520004,201.774994,181.090912,211.850006,264.579987,974.700012,120.599998,356.099121,102,120.087502,380.987488,574.400024,163.762543,237.100006,43.099998,272.950012,83.599998,691.150024,291.693329,848.5,48.049999,697.799988,431.613251,604.150024,67.36412,127.42038,54.049999,198.616669,324.299988,208.274994,147.458328,72.975021,677.950012,129.300003,114.28698,98.074997,455.680603,636.700012,161.550003,605.845215,305.294312,42.177681,114.75
